date,nav,daily_return,regime,n_positions,gross_exposure,costs
2012-06-21,1060818.62,-0.001003,Goldilocks,9,1117094.32,64.0
2012-06-22,1068616.36,0.007351,Goldilocks,9,943941.21,93.67
2012-06-25,1071039.41,0.002267,Goldilocks,10,992859.61,71.34
2012-06-26,1081064.28,0.00936,Goldilocks,11,1127360.46,59.21
2012-06-27,1086037.26,0.0046,Goldilocks,12,1011281.69,62.03
2012-06-28,1083300.64,-0.00252,Goldilocks,11,1018315.2,81.13
2012-06-29,1122704.33,0.036374,Goldilocks,10,969945.4,68.51
2012-07-02,1115229.01,-0.006658,Goldilocks,10,1028047.28,112.01
2012-07-03,1131223.61,0.014342,Goldilocks,10,1137775.31,78.67
2012-07-05,1128007.51,-0.002843,Goldilocks,10,1114855.4,34.69
2012-07-06,1122069.79,-0.005264,Goldilocks,8,926768.01,101.12
