date,nav,daily_return,regime,n_positions,gross_exposure,costs
2012-03-22,966718.11,0.004609,Goldilocks,10,947164.4,34.17
2012-03-23,967178.04,0.000476,Goldilocks,11,1016453.21,19.87
2012-03-26,964610.4,-0.002655,Goldilocks,11,1174566.11,36.04
2012-03-27,965279.77,0.000694,Goldilocks,11,1043944.21,30.73
2012-03-28,968156.07,0.00298,Goldilocks,10,804301.31,68.32
2012-03-29,960352.87,-0.00806,Goldilocks,10,918606.79,54.18
2012-03-30,962066.17,0.001784,Goldilocks,10,1014487.81,29.7
2012-04-02,966204.49,0.004301,Goldilocks,10,866183.0,80.1
2012-04-03,961846.12,-0.004511,Goldilocks,9,874321.75,31.36
2012-04-04,962169.91,0.000337,Goldilocks,10,875179.56,82.22
2012-04-05,963101.05,0.000968,Goldilocks,10,893372.14,66.44
2012-04-09,962993.01,-0.000112,Goldilocks,10,970326.79,35.68
2012-04-10,956738.95,-0.006494,Goldilocks,11,961806.89,29.66
2012-04-11,959983.15,0.003391,Goldilocks,11,900445.8,14.71
2012-04-12,963128.72,0.003277,Goldilocks,10,854664.5,49.48
2012-04-13,965429.35,0.002389,Goldilocks,10,912149.19,62.88
2012-04-16,958443.4,-0.007236,Goldilocks,10,867602.2,61.95
2012-04-17,957412.39,-0.001076,Goldilocks,12,1022206.7,72.5
2012-04-18,954583.07,-0.002955,Goldilocks,11,1060192.31,35.93
2012-04-19,950972.78,-0.003782,Goldilocks,11,1017594.13,53.37
2012-04-20,957025.6,0.006365,Goldilocks,10,933608.9,36.15
2012-04-23,959350.43,0.002429,Goldilocks,12,974664.7,58.36
2012-04-24,959459.03,0.000113,Goldilocks,12,1007258.36,31.3
2012-04-25,966070.22,0.006891,Goldilocks,12,1052158.6,10.81
2012-04-26,966038.81,-3.3e-05,Goldilocks,12,1154516.39,35.22
2012-04-27,965842.09,-0.000204,Goldilocks,10,872986.41,94.1
2012-04-30,966237.76,0.00041,Goldilocks,10,989231.05,38.23
2012-05-01,961058.91,-0.00536,Goldilocks,9,840596.21,36.99
2012-05-02,968533.86,0.007778,Goldilocks,10,864873.99,28.61
2012-05-03,962365.68,-0.006369,Goldilocks,11,984810.55,39.98
2012-05-04,959239.0,-0.003249,Goldilocks,10,797970.09,57.73
2012-05-07,955727.7,-0.003661,Goldilocks,10,877192.56,17.25
2012-05-08,962554.22,0.007143,Goldilocks,10,913319.69,40.89
2012-05-09,961644.26,-0.000945,Goldilocks,11,944768.44,8.93
2012-05-10,960014.62,-0.001695,Goldilocks,10,878226.3,35.27
2012-05-11,959828.63,-0.000194,Goldilocks,10,895575.7,14.36
2012-05-14,964610.41,0.004982,Goldilocks,10,865447.51,6.03
2012-05-15,963985.03,-0.000648,Goldilocks,10,921733.21,74.89
2012-05-16,960527.38,-0.003587,Goldilocks,9,816894.69,43.94
2012-05-17,955549.5,-0.005182,Goldilocks,12,1074644.15,78.44
2012-05-18,945636.02,-0.010375,Goldilocks,10,927445.75,50.08
2012-05-21,955216.56,0.010131,Goldilocks,10,847918.1,21.81
2012-05-22,949210.91,-0.006287,Goldilocks,10,791913.06,11.6
2012-05-23,949033.29,-0.000187,Goldilocks,10,921043.69,40.76
2012-05-24,949189.05,0.000164,Goldilocks,10,886046.3,111.84
2012-05-25,951888.5,0.002844,Goldilocks,10,835413.61,61.65
2012-05-29,957383.83,0.005773,Goldilocks,9,903136.1,43.68
2012-05-30,945690.08,-0.012214,Goldilocks,10,929663.6,17.74
2012-05-31,936761.01,-0.009442,Goldilocks,9,870233.38,18.88
2012-06-01,924888.79,-0.012674,Goldilocks,10,1052915.39,66.62
2012-06-04,929353.55,0.004827,Goldilocks,10,945271.7,36.53
2012-06-05,926834.16,-0.002711,Goldilocks,11,1061960.85,23.54
2012-06-06,927859.74,0.001107,Goldilocks,11,1068293.99,10.06
2012-06-07,938926.18,0.011927,Goldilocks,11,1031761.68,8.27
2012-06-08,939927.84,0.001067,Goldilocks,10,985029.86,19.23
2012-06-11,932119.0,-0.008308,Goldilocks,9,946274.1,53.1
2012-06-12,930906.7,-0.001301,Goldilocks,9,993027.41,26.6
2012-06-13,929705.25,-0.001291,Goldilocks,10,877541.6,34.16
2012-06-14,926259.28,-0.003707,Goldilocks,7,807688.89,42.79
2012-06-15,927117.52,0.000927,Goldilocks,10,933628.89,64.76
2012-06-18,920747.87,-0.00687,Goldilocks,10,850910.7,37.44
2012-06-19,927231.77,0.007042,Goldilocks,10,917297.44,57.09
2012-06-20,920154.28,-0.007633,Goldilocks,10,784952.19,26.51
2012-06-21,916857.79,-0.003583,Goldilocks,11,860321.81,71.08
2012-06-22,920628.98,0.004113,Goldilocks,11,934160.21,76.72
2012-06-25,919968.03,-0.000718,Goldilocks,12,894202.61,60.34
2012-06-26,925482.88,0.005995,Goldilocks,11,925754.71,21.74
2012-06-27,927514.64,0.002195,Goldilocks,11,857208.89,40.74
2012-06-28,926489.29,-0.001105,Goldilocks,11,870987.8,11.25
2012-06-29,941698.5,0.016416,Goldilocks,11,871108.0,23.0
2012-07-02,941901.71,0.000216,Goldilocks,11,983274.58,82.58
2012-07-03,952408.28,0.011155,Goldilocks,11,936952.01,79.64
2012-07-05,955595.6,0.003347,Goldilocks,11,887032.3,10.97
2012-07-06,954624.97,-0.001016,Goldilocks,11,1019932.8,38.63
2012-07-09,955197.12,0.000599,Goldilocks,9,743326.98,78.05
2012-07-10,960121.12,0.005155,Goldilocks,10,811750.01,55.01
2012-07-11,957296.34,-0.002942,Goldilocks,10,884271.0,53.76
2012-07-12,955422.81,-0.001957,Goldilocks,10,903951.11,63.54
2012-07-13,960633.79,0.005454,Goldilocks,8,789054.0,38.82
2012-07-16,965873.3,0.005454,Goldilocks,9,830171.51,9.49
2012-07-17,967621.95,0.00181,Goldilocks,10,826967.9,52.87
2012-07-18,962873.94,-0.004907,Goldilocks,10,830800.7,19.3
2012-07-19,969011.6,0.006374,Goldilocks,9,687647.5,37.63
